month,maximum_rainfall_in_a_day,year,month_only,no_of_rainy_days,total_rainfall
1991-08-01,129.9,1991,8,8.0,226.2
1991-09-01,53.6,1991,9,12.0,123.1
1991-10-01,20.4,1991,10,5.0,52.0
1991-11-01,75.2,1991,11,19.0,205.0
1991-12-01,79.4,1991,12,19.0,492.3
1992-01-01,56.2,1992,1,9.0,83.9
1992-02-01,43.2,1992,2,4.0,62.4
1992-03-01,35.1,1992,3,6.0,67.6
1992-04-01,94.7,1992,4,13.0,160.3
1992-05-01,13.7,1992,5,13.0,63.1
1992-06-01,38.4,1992,6,14.0,162.8
1992-07-01,97.3,1992,7,19.0,290.8
1992-08-01,31.0,1992,8,11.0,76.1
1992-09-01,17.5,1992,9,13.0,83.6
1992-10-01,45.5,1992,10,20.0,233.2
1992-11-01,120.6,1992,11,18.0,474.3
1992-12-01,105.7,1992,12,23.0,502.7
1993-01-01,37.2,1993,1,11.0,176.4
1993-02-01,27.0,1993,2,8.0,69.2
1993-03-01,56.9,1993,3,14.0,250.5
1993-04-01,56.7,1993,4,20.0,283.9
1993-05-01,37.2,1993,5,10.0,129.9
1993-06-01,29.4,1993,6,17.0,115.5
1993-07-01,46.4,1993,7,15.0,240.0
1993-08-01,53.5,1993,8,11.0,106.8
1993-09-01,42.0,1993,9,7.0,61.7
1993-10-01,62.7,1993,10,13.0,175.5
1993-11-01,61.3,1993,11,18.0,250.8
1993-12-01,67.6,1993,12,19.0,308.5
1994-01-01,17.5,1994,1,7.0,56.9
1994-02-01,26.3,1994,2,15.0,133.5
1994-03-01,64.2,1994,3,19.0,288.2
1994-04-01,46.3,1994,4,15.0,154.0
1994-05-01,45.1,1994,5,16.0,169.6
1994-06-01,61.1,1994,6,14.0,184.7
1994-07-01,17.0,1994,7,6.0,53.8
1994-08-01,15.5,1994,8,12.0,45.1
1994-09-01,11.3,1994,9,6.0,23.7
1994-10-01,35.4,1994,10,11.0,84.7
1994-11-01,178.3,1994,11,21.0,322.2
